ID,genome1,genome2,species1,species2,taxonomic_group,timetree_div,raw,k2p,k3p,jc,intersection_km2
5374,GCA_031893025.1,GCA_044628515.1,Leptodactylus fuscus,Leptodactylus mystaceus,Amphibia,19.31873,1.24e-05,6.76e-06,6.23e-06,1.24e-05,3779087.67048698
5404,GCA_037367395.1,GCA_037952835.1,Lithobates pipiens,Lithobates septentrionalis,Amphibia,26.581265,5.32e-05,2.56e-05,2.3e-05,5.32e-05,
5412,GCA_046271125.1,GCA_046270745.1,Osteocephalus leprieurii,Osteocephalus oophagus,Amphibia,11.230585,4.13e-07,2.18e-07,2e-07,4.13e-07,1174353.10258661
5414,GCF_036172605.1,GCA_933207985.1,Pelobates fuscus,Pelobates cultripes,Amphibia,12.1,0.000381253,0.000179732,0.000161328,0.00038135,0.0
5426,GCA_044758445.1,GCA_047292515.1,Sclerophrys asmarae,Sclerophrys steindachneri,Amphibia,23.12399,2.26e-06,1.27e-06,1.17e-06,2.26e-06,0.0
5427,GCA_044758445.1,GCA_044758605.1,Sclerophrys asmarae,Sclerophrys regularis,Amphibia,23.12399,2.45e-06,1.2e-06,1.09e-06,2.45e-06,166241.264442653
5432,GCF_027358695.1,GCA_029215755.1,Spea bombifrons,Spea hammondii,Amphibia,8.49346,0.003085392,0.001558924,0.001422334,0.003091756,0.0
5433,GCF_027358695.1,GCA_009364415.1,Spea bombifrons,Spea multiplicata,Amphibia,18.95,0.000316639,0.000158032,0.000144004,0.000316706,998453.103378229
5445,GCA_027497715.1,GCA_025728005.1,Accipiter nisus,Accipiter virgatus,Aves,6.92082,0.018950051,0.011975541,0.011339893,0.019193565,511671.034118914
5446,GCA_037013685.1,GCA_002849675.1,Acridotheres tristis,Acridotheres javanicus,Aves,3.14735,0.00441833,0.002642467,0.002494688,0.004431396,0.0
5448,GCA_021534815.1,GCA_045783595.1,Acrocephalus arundinaceus,Acrocephalus melanopogon,Aves,10.61,0.019458573,0.012050451,0.011406571,0.01971545,1051528.40660501
5455,GCA_045783595.1,GCA_045787745.1,Acrocephalus melanopogon,Acrocephalus paludicola,Aves,3.59345,0.010656147,0.006718386,0.006373944,0.010732574,6.87922154910469
5457,GCA_025331215.1,GCA_024336885.1,Actenoides lindsayi,Actenoides hombroni,Aves,6.10007,0.010047138,0.006419675,0.006090238,0.010115042,0.0
5458,GCA_045788345.1,GCA_045783455.1,Actitis hypoleucos,Actitis macularius,Aves,10.3,0.01249988,0.007953848,0.007539818,0.012605217,0.0
5496,GCA_024635365.1,GCA_032270905.1,Aix galericulata,Aix sponsa,Aves,7.46,0.002951464,0.001822088,0.00172125,0.002957286,0.0
5497,GCA_045785045.1,GCA_033439885.1,Alcedo atthis,Alcedo semitorquata,Aves,4.0254,0.004938035,0.002902016,0.002723408,0.004954362,0.0
5498,GCA_045785045.1,GCA_033439865.1,Alcedo atthis,Alcedo quadribrachys,Aves,4.0254,0.004637819,0.002726959,0.002559457,0.004652218,0.0
5500,GCA_035666275.1,GCA_030625065.1,Alectoris chukar,Alectoris magna,Aves,4.42352,0.003504414,0.002217147,0.002120187,0.003512627,107551.054404024
5501,GCA_035666275.1,GCA_038994595.1,Alectoris chukar,Alectoris rufa,Aves,5.085555,0.007323834,0.004759395,0.004553156,0.007359828,0.0
5656,GCA_043789995.1,GCA_008711295.1,Anarhynchus nivosus,Anarhynchus alexandrinus,Aves,7.65054,0.011281871,0.007332851,0.006980635,0.011367586,
5711,GCA_032165215.1,GCA_038406475.1,Anas bernieri,Anas carolinensis,Aves,5.868165,0.009043501,0.005901342,0.005618988,0.009098467,0.0
5719,GCA_032357685.1,GCA_038406075.1,Anas capensis,Anas aucklandica,Aves,5.13895,0.001183465,0.000753356,0.000715016,0.0011844,0.0
5725,GCA_964211835.1,GCA_964034855.1,Anser anser,Anser brachyrhynchus,Aves,0.68438,0.004959304,0.003232637,0.003087499,0.004975773,12444.2138261665
5728,GCA_964034855.1,GCA_049942495.1,Anser brachyrhynchus,Anser albifrons,Aves,0.68438,0.004346426,0.002816793,0.002689604,0.004359069,0.0
5729,GCA_045784945.1,GCA_045783175.1,Anthus petrosus,Anthus godlewskii,Aves,12.69352,0.029884829,0.01786365,0.016763589,0.030496536,0.0
5730,GCA_045784945.1,GCA_045782245.1,Anthus petrosus,Anthus campestris,Aves,12.69352,0.02046955,0.012227165,0.011479977,0.020754074,6612.6638719793
5732,GCF_041296385.1,GCA_028536675.1,Aphelocoma coerulescens,Aphelocoma californica,Aves,4.15508,0.002801524,0.001735111,0.001643857,0.002806769,0.0
5733,GCF_041296385.1,GCA_048182245.1,Aphelocoma coerulescens,Aphelocoma insularis,Aves,4.15508,0.00442966,0.002745347,0.002601097,0.004442793,
5738,GCA_010087175.1,GCF_000699145.1,Aptenodytes patagonicus,Aptenodytes forsteri,Aves,13.5,0.003290971,0.002190997,0.002097377,0.003298213,0.0
5739,GCF_036417845.1,GCA_003342985.1,Apteryx mantelli,Apteryx haastii,Aves,13.43223,0.007933616,0.005707732,0.005517626,0.007975876,0.0
